Estimator,Dataset,Query,Value,Runtime
alleyTPI,lubm80,lubm80/lubm80_Q7.txt,67.0,1.6213130999999998
alleyTPI,lubm80,lubm80/lubm80_Q9.txt,21222.8885261194,2.8473909333333336
alleyTPI,lubm80,lubm80/lubm80_Q8.txt,7781.5,4.637898866666665
alleyTPI,lubm80,lubm80/lubm80_Q2.txt,238.57142857142858,0.8291339666666667
alleyTPI,lubm80,lubm80/lubm80_Q12.txt,15.0,0.12967003333333335
alleyTPI,lubm80,lubm80/lubm80_Q4.txt,34.0,0.3597283333333333
alleyTPI,aids,Tree_3/uf_Q_2_6.txt,131.1,0.48811813333333337
alleyTPI,aids,Tree_3/uf_Q_4_10.txt,94775.73979591837,1.5692590333333336
alleyTPI,aids,Tree_3/uf_Q_2_1.txt,321.6521739130435,0.9117086000000002
alleyTPI,aids,Tree_3/uf_Q_4_17.txt,94001.83783783784,1.4901326000000001
alleyTPI,aids,Tree_3/uf_Q_4_19.txt,94775.73979591837,1.5561897999999998
alleyTPI,aids,Tree_3/uf_Q_2_8.txt,423.8736263736264,0.5444955666666669
alleyTPI,aids,Tree_3/uf_Q_3_6.txt,6764.660526315789,1.402827533333333
alleyTPI,aids,Tree_3/uf_Q_3_1.txt,4037.758192389006,1.3112274000000004
alleyTPI,aids,Tree_3/uf_Q_4_5.txt,24601.36224489796,1.3357622666666669
alleyTPI,aids,Tree_3/uf_Q_3_8.txt,2240.0,0.4680669333333333
alleyTPI,aids,Tree_3/uf_Q_4_2.txt,94775.73979591837,1.4909028333333334
alleyTPI,aids,Tree_3/uf_Q_0_1.txt,6.0,0.7204697
alleyTPI,aids,Tree_3/uf_Q_2_9.txt,423.8736263736264,0.5423445333333334
alleyTPI,aids,Tree_3/uf_Q_4_18.txt,94001.83783783784,1.4205716333333336
alleyTPI,aids,Tree_3/uf_Q_4_16.txt,94001.83783783784,1.3975196666666667
alleyTPI,aids,Tree_3/uf_Q_2_7.txt,456.75,0.7137114666666666
alleyTPI,aids,Tree_3/uf_Q_4_11.txt,24601.36224489796,1.3368377666666662
alleyTPI,aids,Tree_3/uf_Q_1_1.txt,25.0,0.5686648
alleyTPI,aids,Tree_3/uf_Q_1_6.txt,36.0,0.5601561333333334
alleyTPI,aids,Tree_3/uf_Q_3_9.txt,4037.758192389006,1.1879685666666666
alleyTPI,aids,Tree_3/uf_Q_4_3.txt,94775.73979591837,1.4812767666666664
alleyTPI,aids,Tree_3/uf_Q_4_4.txt,17364.22510822511,1.766567166666666
alleyTPI,aids,Tree_3/uf_Q_3_7.txt,1223.8695652173913,0.4480041999999999
alleyTPI,aids,Tree_3/uf_Q_1_5.txt,36.0,0.5732953666666666
alleyTPI,aids,Tree_3/uf_Q_1_2.txt,18.0,0.5270471333333334
alleyTPI,aids,Tree_3/uf_Q_4_7.txt,94001.83783783784,1.4600219333333329
alleyTPI,aids,Tree_3/uf_Q_3_4.txt,3554.03125,0.6115468666666667
alleyTPI,aids,Tree_3/uf_Q_4_9.txt,94001.83783783784,1.4188163000000003
alleyTPI,aids,Tree_3/uf_Q_3_3.txt,1854.0,0.7166447666666665
alleyTPI,aids,Tree_3/uf_Q_4_20.txt,94775.73979591837,1.4402081999999998
alleyTPI,aids,Tree_3/uf_Q_3_10.txt,1763.945652173913,0.8508171000000002
alleyTPI,aids,Tree_3/uf_Q_4_12.txt,94001.83783783784,1.575547
alleyTPI,aids,Tree_3/uf_Q_2_4.txt,359.2753623188406,1.6695848333333339
alleyTPI,aids,Tree_3/uf_Q_4_15.txt,94001.83783783784,1.4759293333333336
alleyTPI,aids,Tree_3/uf_Q_2_3.txt,102.35000000000001,0.4646052333333334
alleyTPI,aids,Tree_3/uf_Q_4_8.txt,24601.36224489796,1.3300889000000002
alleyTPI,aids,Tree_3/uf_Q_3_2.txt,4037.758192389006,1.2996873666666668
alleyTPI,aids,Tree_3/uf_Q_3_5.txt,1090.679347826087,0.9274482999999998
alleyTPI,aids,Tree_3/uf_Q_4_1.txt,46344.934426229505,1.5070105333333335
alleyTPI,aids,Tree_3/uf_Q_4_6.txt,94001.83783783784,1.4200362666666668
alleyTPI,aids,Tree_3/uf_Q_1_3.txt,36.0,0.550758
alleyTPI,aids,Tree_3/uf_Q_1_4.txt,36.0,0.5588849333333333
alleyTPI,aids,Tree_3/uf_Q_4_14.txt,53561.901639344265,1.1886531333333332
alleyTPI,aids,Tree_3/uf_Q_2_2.txt,321.6521739130435,0.44837433333333326
alleyTPI,aids,Tree_3/uf_Q_4_13.txt,24601.36224489796,1.305768166666667
alleyTPI,aids,Tree_3/uf_Q_2_5.txt,213.33333333333334,0.7030841666666666
alleyTPI,aids,Tree_3/uf_Q_5_1.txt,118003.390625,2.086253866666667
alleyTPI,aids,Tree_3/uf_Q_3_11.txt,4037.758192389006,1.0871565666666667
alleyTPI,aids,Tree_9/uf_Q_3_2.txt,2332.5925925925926,1.3413076666666666
alleyTPI,aids,Tree_9/uf_Q_4_14.txt,73515.6,1.7265883000000002
alleyTPI,aids,Tree_9/uf_Q_4_8.txt,53036.8,1.5627431
alleyTPI,aids,Tree_9/uf_Q_3_5.txt,4213.636363636364,1.6599049
alleyTPI,aids,Tree_9/uf_Q_4_13.txt,42008.333333333336,1.6785918333333334
alleyTPI,aids,Tree_9/uf_Q_4_1.txt,27075.0,2.0933428
alleyTPI,aids,Tree_9/uf_Q_4_6.txt,109106.95652173914,2.8932184333333337
alleyTPI,aids,Tree_9/uf_Q_5_10.txt,749274.0,1.7145641000000003
alleyTPI,aids,Tree_9/uf_Q_5_8.txt,114228.06703910614,2.3467277000000006
alleyTPI,aids,Tree_9/uf_Q_5_1.txt,830566.304347826,3.3667073666666667
alleyTPI,aids,Tree_9/uf_Q_5_6.txt,597387.3932584269,3.1404064000000003
alleyTPI,aids,Tree_9/uf_Q_3_10.txt,6318.0,1.5856647
alleyTPI,aids,Tree_9/uf_Q_4_7.txt,11518.4,1.1549154666666666
alleyTPI,aids,Tree_9/uf_Q_3_4.txt,8358.3,1.6689025666666668
alleyTPI,aids,Tree_9/uf_Q_4_12.txt,68148.722513089,2.647259766666666
alleyTPI,aids,Tree_9/uf_Q_3_3.txt,3233.185185185185,1.4032908333333332
alleyTPI,aids,Tree_9/uf_Q_4_15.txt,20480.0,1.3564977333333335
alleyTPI,aids,Tree_9/uf_Q_4_9.txt,17366.875,2.5610372333333333
